	alpha_wall	density_gas	density_liq	density_water	direction_neg	direction_pos	frac_gas	frac_liq	frac_water	paraffin_dens	paraffin_in_R	paraffin_mass	pressure	temperature	velocity_gas	velocity_liq	velocity_water	viscosity_gas	viscosity_liq	viscosity_water
	29.0666666666667	13.9209832268379	700.090446882588	1000	0	1	0	0	0.999999999993983	900	0.045	0	13.9209832268664	8.167386397417431e-05	0.207920899708978	0.207920899708978	0.207920899708978	4e-05	0.0063	0.00175
	29.0666666666667	17.8419664532877	700.117893765173	1000	0	1	0	0	1	900	0.045	0	17.8419664532975	0.00016334772800519204	0.207920899707591	0.207920899707591	0.207920899707591	4e-05	0.0063	0.00175
	29.0666666666667	21.7629496797416	700.145340647758	1000	0	1	0	0	0.999999999997692	900	0.045	0	21.762949679738703	0.0003293780470130514	0.207920899707138	0.207920899707138	0.207920899707138	4e-05	0.0063	0.00175
	29.0666666666667	25.683932906192	700.172787530343	1000	0	1	0	0	0.999999999999531	900	0.045	0	25.683932906188602	0.0006599054369758051	0.207920899706816	0.207920899706816	0.207920899706816	4e-05	0.0063	0.00175
	29.0666666666667	29.604916132644	700.200234412928	1000	0	1	0	0	0.999999999999514	900	0.045	0	29.6049161326426	0.0012565553599870327	0.207920899706928	0.207920899706928	0.207920899706928	4e-05	0.0063	0.00175
	29.0666666666667	33.5258993590964	700.227681295514	1000	0	1	0	0	0.999999999999553	900	0.045	0	33.5258993590958	0.0021807752549989345	0.207920899706978	0.207920899706978	0.207920899706978	4e-05	0.0063	0.00175
	29.0666666666667	37.4468825855482	700.255128178099	1000	0	1	0	0	0.999999999999592	900	0.045	0	37.4468825855484	0.003377216109015535	0.207920899706893	0.207920899706893	0.207920899706893	4e-05	0.0063	0.00175
	29.0666666666667	41.3678658120001	700.282575060684	1000	0	1	0	0	0.999999999999629	900	0.045	0	41.3678658120018	0.00464391824601762	0.20792089970684	0.20792089970684	0.20792089970684	4e-05	0.0063	0.00175
	29.0666666666667	45.2888490384523	700.310021943269	1000	0	1	0	0	0.999999999999333	900	0.045	0	45.2888490384542	0.005685025264995147	0.20792089970684	0.20792089970684	0.20792089970684	4e-05	0.0063	0.00175
	29.0666666666667	49.2098322649027	700.337468825854	1000	0	1	0	0	0.999999999999263	900	0.045	0	49.209832264906595	0.006225088675989809	0.207920899706881	0.207920899706881	0.207920899706881	4e-05	0.0063	0.00175
	29.0666666666667	53.1308154913521	700.36491570844	1000	0	1	0	0	0.999999999999054	900	0.045	0	53.1308154913587	0.006125214999997297	0.207920899707018	0.207920899707018	0.207920899707018	4e-05	0.0063	0.00175
	29.0666666666667	57.0517987178017	700.392362591025	1000	0	1	0	0	0.999999999999103	900	0.045	0	57.051798717809596	0.005442966509974667	0.207920899706984	0.207920899706984	0.207920899706984	4e-05	0.0063	0.00175
	29.0666666666667	60.9727819442521	700.41980947361	1000	0	1	0	0	0.999999999999621	900	0.045	0	60.97278194426129	0.004410860280984252	0.207920899706763	0.207920899706763	0.207920899706763	4e-05	0.0063	0.00175
	29.0666666666667	64.893765170704	700.447256356195	1000	0	1	0	0	0.999999999999604	900	0.045	0	64.89376517071389	0.003350019656011227	0.207920899706803	0.207920899706803	0.207920899706803	4e-05	0.0063	0.00175
	29.0666666666667	68.8147483971562	700.47470323878	1000	0	1	0	0	0.999999999999457	900	0.045	0	68.8147483971654	0.002565545555000881	0.207920899706744	0.207920899706744	0.207920899706744	4e-05	0.0063	0.00175
	29.0666666666667	72.7357316236084	700.502150121365	1000	0	1	0	0	0.999999999999681	900	0.045	0	72.7357316236176	0.0022744963829950393	0.207920899706537	0.207920899706537	0.207920899706537	4e-05	0.0063	0.00175
	29.0666666666667	76.6567148500604	700.52959700395	1000	0	1	0	0	0.999999999999293	900	0.045	0	76.6567148500693	0.002591768202023559	0.207920899706574	0.207920899706574	0.207920899706574	4e-05	0.0063	0.00175
	29.0666666666667	80.5776980765114	700.557043886536	1000	0	1	0	0	0.999999999999573	900	0.045	0	80.5776980765215	0.0035578606550075165	0.207920899706356	0.207920899706356	0.207920899706356	4e-05	0.0063	0.00175
	29.0666666666667	84.4986813029634	700.584490769121	1000	0	1	0	0	0.999999999999436	900	0.045	0	84.4986813029738	0.005165808616027334	0.207920899706373	0.207920899706373	0.207920899706373	4e-05	0.0063	0.00175
	29.0666666666667	88.419664529415	700.611937651706	1000	0	1	0	0	0.999999999999383	900	0.045	0	88.4196645294264	0.007354698081996958	0.207920899706377	0.207920899706377	0.207920899706377	4e-05	0.0063	0.00175
	29.0666666666667	92.340647755866	700.639384534291	1000	0	1	0	0	0.99999999999909	900	0.045	0	92.3406477558784	0.009974786867019247	0.207920899706357	0.207920899706357	0.207920899706357	4e-05	0.0063	0.00175
	29.0666666666667	96.2616309823169	700.666831416876	1000	0	1	0	0	0.999999999998965	900	0.045	0	96.2616309823296	0.012760851111011107	0.207920899706299	0.207920899706299	0.207920899706299	4e-05	0.0063	0.00175
	29.0666666666667	100.182614208768	700.694278299461	1000	0	1	0	0	0.999999999998852	900	0.045	0	100.18261420878001	0.015350165289987672	0.207920899706236	0.207920899706236	0.207920899706236	4e-05	0.0063	0.00175
	29.0666666666667	104.10359743522	700.721725182046	1000	0	1	0	0	0.999999999999509	900	0.045	0	104.10359743523199	0.017351245683983052	0.207920899706174	0.207920899706174	0.207920899706174	4e-05	0.0063	0.00175
	29.0666666666667	108.024580661673	700.749172064632	1000	0	1	0	0	0.999999999999641	900	0.045	0	108.02458066168501	0.018433891919016787	0.207920899706159	0.207920899706159	0.207920899706159	4e-05	0.0063	0.00175
